x,y,xd,yd,xdd,ydd
300.0036518276,300,0.54392,0,-80,0
300.0036746722,300,0.5456,0,-80,0
300.0036964962,300,0.5472,0,-80,0
300.0037172898,300,0.54872,0,-80,0
300.0037381412,300,0.55024,0,-80,0
300.0037733565,300,0.5528,0,-80,0
300.0037938101,300,0.55428,0,-80,0
300.0038148728,300,0.5558,0,-80,0
300.0038354374,300,0.55728,0,-80,0
300.0038560567,300,0.55876,0,-80,0
300.0038767308,300,0.56024,0,-80,0
300.0038974597,300,0.56172,0,-80,0
300.0039193668,300,0.56328,0,-80,0
300.0039407714,300,0.5648,0,-80,0
300.0039622338,300,0.56632,0,-80,0
300.0039831877,300,0.5678,0,-80,0
300.0040041963,300,0.56928,0,-80,0
300.0040355067,300,0.57148,0,-80,0
300.0040572229,300,0.573,0,-80,0
300.0040784239,300,0.57448,0,-80,0
300.0041008286,300,0.57604,0,-80,0
300.0041221421,300,0.57752,0,-80,0
300.0041435104,300,0.579,0,-80,0
300.0041643544,300,0.58044,0,-80,0
300.0041852502,300,0.58188,0,-80,0
300.0042067798,300,0.58336,0,-80,0
300.0042283641,300,0.58484,0,-80,0
300.0042500032,300,0.58632,0,-80,0
300.004271697,300,0.5878,0,-80,0
300.0042934456,300,0.58928,0,-80,0
300.004315249,300,0.59076,0,-80,0
300.0043376978,300,0.59228,0,-80,0
300.004384488,300,0.59544,0,-80,0
300.0044071147,300,0.59696,0,-80,0
300.0044292022,300,0.59844,0,-80,0
300.0044513445,300,0.59992,0,-80,0
300.0044741414,300,0.60144,0,-80,0
300.0044963947,300,0.60292,0,-80,0
300.0045187028,300,0.6044,0,-80,0
300.0045410656,300,0.60588,0,-80,0
300.0045634831,300,0.60736,0,-80,0
300.0045859554,300,0.60884,0,-80,0
300.0046084825,300,0.61032,0,-80,0
300.0046310644,300,0.6118,0,-80,0
300.004653701,300,0.61328,0,-80,0
300.0046763923,300,0.61476,0,-80,0
300.0046997532,300,0.61628,0,-80,0
300.0047225556,300,0.61776,0,-80,0
300.0047454127,300,0.61924,0,-80,0
300.0047918557,300,0.62224,0,-80,0
300.0048155008,300,0.62376,0,-80,0
300.0048834906,300,0.62812,0,-80,0
300.004927459,300,0.63092,0,-80,0
300.0049508031,300,0.6324,0,-80,0
300.0049742019,300,0.63388,0,-80,0
300.0049976554,300,0.63536,0,-80,0
300.0050217991,300,0.63688,0,-80,0
300.005070202,300,0.63992,0,-80,0
300.0051149964,300,0.64272,0,-80,0
300.0051407052,300,0.64432,0,-80,0
300.005184519,300,0.64704,0,-80,0
300.0052091065,300,0.64856,0,-80,0
300.0052519114,300,0.6512,0,-80,0
300.0052760058,300,0.65268,0,-80,0
300.005300155,300,0.65416,0,-80,0
300.0053250131,300,0.65568,0,-80,0
300.0053492732,300,0.65716,0,-80,0
300.0053742453,300,0.65868,0,-80,0
300.0053986165,300,0.66016,0,-80,0
300.0054936795,300,0.66592,0,-80,0
300.0055216482,300,0.6676,0,-80,0
