x,y,xd,yd,xdd,ydd
300,300.0025171588,0,0.45416,0,-80
300,300.0025339628,0,0.45564,0,-80
300,300.0025508214,0,0.45712,0,-80
300,300.0025677349,0,0.4586,0,-80
300,300.0025851617,0,0.46012,0,-80
300,300.0026021861,0,0.4616,0,-80
300,300.0026188037,0,0.46304,0,-80
300,300.0026359362,0,0.46452,0,-80
300,300.0026707752,0,0.46752,0,-80
300,300.002688541,0,0.46904,0,-80
300,300.0027058954,0,0.47052,0,-80
300,300.0027407139,0,0.47348,0,-80
300,300.0027738575,0,0.47628,0,-80
300,300.0027914799,0,0.47776,0,-80
300,300.002809157,0,0.47924,0,-80
300,300.0028268889,0,0.48072,0,-80
300,300.0028446755,0,0.4822,0,-80
300,300.0028629991,0,0.48372,0,-80
300,300.0028958921,0,0.48644,0,-80
300,300.0029148632,0,0.488,0,-80
300,300.0029334072,0,0.48952,0,-80
300,300.0029515195,0,0.491,0,-80
300,300.0029696865,0,0.49248,0,-80
300,300.0029884007,0,0.494,0,-80
300,300.0030076667,0,0.49556,0,-80
300,300.003026498,0,0.49708,0,-80
300,300.003045387,0,0.4986,0,-80
300,300.0030643338,0,0.50012,0,-80
300,300.0030833384,0,0.50164,0,-80
300,300.0031024007,0,0.50316,0,-80
300,300.0031210176,0,0.50464,0,-80
300,300.0031396893,0,0.50612,0,-80
300,300.0031589219,0,0.50764,0,-80
300,300.0031985178,0,0.51076,0,-80
300,300.0032174159,0,0.51224,0,-80
300,300.0032363688,0,0.51372,0,-80
300,300.0032553764,0,0.5152,0,-80
300,300.0032945316,0,0.51824,0,-80
300,300.0033137065,0,0.51972,0,-80
300,300.0033334559,0,0.52124,0,-80
300,300.0033527418,0,0.52272,0,-80
300,300.0033720824,0,0.5242,0,-80
300,300.003399865,0,0.52632,0,-80
300,300.0034193388,0,0.5278,0,-80
300,300.0034388674,0,0.52928,0,-80
300,300.0034584508,0,0.53076,0,-80
300,300.0034786197,0,0.53228,0,-80
300,300.0035180084,0,0.53524,0,-80
300,300.003552799,0,0.53784,0,-80
300,300.0035732369,0,0.53936,0,-80
300,300.0035931932,0,0.54084,0,-80
300,300.0036132043,0,0.54232,0,-80
300,300.0036338125,0,0.54384,0,-80
300,300.0036539346,0,0.54532,0,-80
300,300.0036735661,0,0.54676,0,-80
300,300.0036932494,0,0.5482,0,-80
300,300.0037129846,0,0.54964,0,-80
300,300.0037333213,0,0.55112,0,-80
300,300.0037537128,0,0.5526,0,-80
300,300.0037918422,0,0.55536,0,-80
300,300.0038123905,0,0.55684,0,-80
300,300.0038329936,0,0.55832,0,-80
300,300.0038536514,0,0.5598,0,-80
300,300.0038956364,0,0.5628,0,-80
300,300.00391646,0,0.56428,0,-80
300,300.0039373384,0,0.56576,0,-80
300,300.0039582715,0,0.56724,0,-80
300,300.0039792594,0,0.56872,0,-80
300,300.004000302,0,0.5702,0,-80
300,300.0040213994,0,0.57168,0,-80
300,300.0040425516,0,0.57316,0,-80
300,300.0040637585,0,0.57464,0,-80
300,300.0040855948,0,0.57616,0,-80
300,300.0041069127,0,0.57764,0,-80
300,300.0041282854,0,0.57912,0,-80
300,300.0041491337,0,0.58056,0,-80
300,300.0041706144,0,0.58204,0,-80
300,300.0041921499,0,0.58352,0,-80
